distance;retries;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15;_16;_17;_18;_19;_20;_21;_22;_23;_24;_25;_26;_27;_28;_29;_30;_31;_32;_33;_34;_35;_36;_37;_38;_39;_40;_41;_42;_43;_44;_45;_46;_47;_48;_49;_50;_51;_52;_53;_54;_55;_56;_57;_58;_59;_60;_61;_62;_63;_64;_65;_66;_67;_68;_69;_70;_71;_72;_73;_74;_75;_76;_77;_78;_79;_80;_81;_82;_83;_84;_85;_86;_87;_88;_89;_90;_91;_92;_93;_94
50;1;81.42875128425993;80.12824555161734;78.66736713095496;84.67567925042412;79.5772637306123;87.84978967784696;82.56025748784099;80.49768453938279;80.49768453938279;86.04999121148714;72.58283203539922;83.3233165462957;65.29584602316763;74.95803476906389;71.58806860780659;71.7529106612982;85.65507026646488;84.28706562247159;82.94090950069848;80.31275261817575;78.48664010230719;77.4109637069535;67.58786266311525;83.51518073358744;81.42875128425993;73.76087341773129;73.76087341773129;71.58806860780659;87.64796734623927;80.86882686115663;51.999204507146;84.67567925042412;84.28706562247159;81.80418637886815;82.18135245311242;85.06608461890904;66.66155637220571;70.76952148581977;93.47821556368753;82.18135245311242;81.24168037032425;83.13189313954281;74.27158336739988;71.7529106612982;83.90023551197255;64.40095231654168;72.08373436149837;88.05207673504692;82.18135245311242;77.4109637069535;83.13189313954281;83.13189313954281;80.86882686115663;88.05207673504692;86.24813396809573;70.76952148581977;84.48114898371028;87.44660867258324;65.59689880541715;81.05503922506719;75.82502782400917;77.05569102752814;76.8786665943013;77.58921383254534;79.5772637306123;76.17462641229403;81.42875128425993;85.45828998891848;75.13063666512456;88.86589365874443;79.39444634461776;77.58921383254534;90.51616201160321;84.48114898371028;64.69787910523104;86.04999121148714;80.49768453938279;86.04999121148714;75.13063666512456;81.24168037032425;80.86882686115663;82.94090950069848;74.44260460817993;72.91748216796745;76.70204884940001;85.45828998891848;75.47703369614224;85.06608461890904;88.05207673504692;77.58921383254534;81.05503922506719;86.24813396809573;74.27158336739988;75.13063666512456;71.7529106612982
100;1;85.85230365953272;85.06608461890904;74.10095502346904;89.07052044475715;103.9103408939769;102.48622717491455;75.82502782400917;84.87065745167865;82.18135245311242;100.1559449215093;88.05207673504692;103.9103408939769;79.03007059816505;95.43338077220086;85.26196178592542;107.3107059503725;97.87864749865372;93.26346272832193;84.09342814000658;93.47821556368753;97.42943969022213;104.87072703252481;93.90920587301264;85.06608461890904;81.80418637886815;100.1559449215093;84.67567925042412;89.48118865153393;96.53719944346616;85.85230365953272;92.83543601596358;87.64796734623927;97.2056094823455;81.24168037032425;90.30821407077885;102.72221678143227;93.04920325689164;82.75036461945882;84.67567925042412;68.05583155149054;109.55518780649251;95.43338077220086;89.27561841403075;79.94416236366476;86.24813396809573;93.26346272832193;91.35275312046308;89.27561841403075;100.84941064689724;89.48118865153393;87.64796734623927;80.68304229352877;94.99539535941216;121.78149575309698;87.84978967784696;89.27561841403075;100.3865687105195;81.24168037032425;76.17462641229403;96.53719944346616;89.48118865153393;94.99539535941216;104.38942952113904;84.87065745167865;91.14288323117634;86.8453039596765;70.44472928177102;81.9925525455932;89.89375028360132;92.19707638088428;91.56310626602688;93.04920325689164;94.12544562691185;78.66736713095496;80.68304229352877;82.94090950069848;86.64578929039162;82.94090950069848;93.47821556368753;89.68723224473376;79.21204895542955;90.30821407077885;99.23873585928976;85.65507026646488;81.80418637886815;87.04527804082183;88.4580493090837;74.27158336739988;92.4093737048952;96.75949053895263;84.09342814000658;94.34218330463797;89.89375028360132;90.51616201160321;96.31541902998988
150;1;103.19582744802683;81.80418637886815;109.05239126123435;105.11220730055531;101.08163124269969;98.78328601209519;85.45828998891848;106.57281074536908;87.84978967784696;96.09414812530488;102.72221678143227;88.05207673504692;91.35275312046308;96.31541902998988;99.92585095768132;92.19707638088428;107.3107059503725;106.0837016293693;97.87864749865372;98.55634553585797;79.39444634461776;104.38942952113904;99.01074905214578;111.07752939570332;93.90920587301264;92.62215987470853;106.32797494975146;103.67162174218069;102.48622717491455;104.62980153088488;108.05371023835644;108.80185898389541;89.89375028360132;100.61772354471226;96.09414812530488;107.80547228788281;99.23873585928976;103.19582744802683;107.80547228788281;106.57281074536908;93.90920587301264;106.32797494975146;110.06030254361242;86.04999121148714;105.83998949201612;104.14960973171877;100.84941064689724;80.12824555161734;102.25077972077757;100.61772354471226;91.56310626602688;90.93349548795442;103.43345101350522;98.32992642291843;106.0837016293693;100.3865687105195;105.5968372484542;120.94409578467344;89.07052044475715;108.55190226864423;98.78328601209519;104.14960973171877;93.47821556368753;110.8223446530412;96.53719944346616;101.78150629043697;98.32992642291843;116.30643866255794;90.10074386061753;101.08163124269969;89.48118865153393;109.55518780649251;102.48622717491455;88.25482958793816;91.77394378063636;86.64578929039162;102.9587497887163;102.72221678143227;86.8453039596765;75.65083066354039;101.08163124269969;101.31438656056716;103.19582744802683;91.77394378063636;109.05239126123435;105.83998949201612;103.9103408939769;99.01074905214578;99.23873585928976;87.64796734623927;104.62980153088488;90.30821407077885;89.27561841403075;102.48622717491455;96.53719944346616
200;1;136.9380207974764;143.71446089068743;169.9880976073776;151.52163507434625;150.13402880772443;144.37707024389624;156.1205430194796;138.84086491082343;151.17353578131596;139.16056641591413;152.5707496392494;148.4173771424014;140.77015029810312;143.3842974641264;144.37707024389624;153.9808771765164;154.3354407858697;167.27320278297256;142.071211385041;150.47973448311032;167.65837392639204;135.99640077891235;158.65442679270308;132.29422515218823;137.5693867214618;152.9220662226185;150.82623619664253;151.52163507434625;132.29422515218823;155.7618783929666;155.04701918906255;141.74482308927838;179.22256628189072;170.3795201952986;146.38328485555763;162.71959128443044;150.47973448311032;157.56347934485905;142.071211385041;156.1205430194796;155.40403774715355;146.72035389152555;159.75292780777542;147.73622505843724;144.70951967574905;171.95424440542277;150.47973448311032;146.04699018750796;130.18134247263782;141.4191846239604;159.75292780777542;151.52163507434625;142.071211385041;148.07640943814368;164.60166778205706;127.22134208574965;138.52189787423194;152.5707496392494;151.52163507434625;164.60166778205706;150.13402880772443;171.1650713707123;148.4173771424014;151.17353578131596;154.69082083006467;157.2014997784399;157.92629242245135;148.07640943814368;134.750971650153;142.071211385041;146.38328485555763;142.3983512378432;145.37671684325215;170.7718440912787;146.72035389152555;156.48003352402927;162.34576628801665;142.071211385041;150.82623619664253;153.9808771765164;128.10220482778118;152.5707496392494;150.47973448311032;164.2235189839767;162.34576628801665;151.17353578131596;169.5975742568894;156.1205430194796;144.0453845670817;142.72624437825547;157.2014997784399;139.16056641591413;149.78911734170106;;
250;1;142.071211385041;130.78155608093476;133.21021182558732;139.16056641591413;140.77015029810312;139.48100408072568;119.56120554261082;103.43345101350522;130.18134247263782;118.19412744424307;113.66191912619567;138.20366361880318;136.9380207974764;145.711468108377;128.10220482778118;107.3107059503725;147.73622505843724;123.47372995481003;135.0612555746781;114.97657598449999;146.04699018750796;119.56120554261082;136.30955248712056;129.88226945076727;139.16056641591413;130.18134247263782;145.711468108377;135.0612555746781;110.31373257227528;124.90187393789093;153.27419176407454;153.27419176407454;144.0453845670817;112.88035139376932;132.9041804094259;131.687069245691;158.65442679270308;140.77015029810312;131.0826998424925;126.63746785245633;136.30955248712056;150.13402880772443;141.09429426645892;130.78155608093476;142.3983512378432;135.99640077891235;166.12299047968008;119.56120554261082;136.9380207974764;123.75804637224999;142.72624437825547;129.58388350640496;113.66191912619567;147.73622505843724;137.25334072422285;120.11245398749564;135.68396849198137;153.27419176407454;138.20366361880318;143.05489254083338;132.9041804094259;137.5693867214618;137.5693867214618;109.55518780649251;139.16056641591413;121.78149575309698;133.51694792407994;150.13402880772443;126.05627327270784;144.0453845670817;130.78155608093476;147.39682220370585;135.37225397356013;140.77015029810312;118.46628680064781;135.68396849198137;136.62342527317932;124.32864475568945;122.90705514830907;128.98916653998216;132.29422515218823;128.39717898913622;114.97657598449999;129.58388350640496;130.4811041541137;123.75804637224999;125.76667700754922;132.59885205668874;132.59885205668874;148.75912997493032;121.22258734750707;151.52163507434625;132.29422515218823;148.4173771424014;148.75912997493032
300;1;126.34653637584607;126.34653637584607;152.9220662226185;139.48100408072568;131.0826998424925;131.3845370318381;128.10220482778118;174.3436620399584;122.342981059681;142.071211385041;133.51694792407994;149.78911734170106;152.9220662226185;165.3605796128513;177.17331256296666;166.88891651518585;169.2079480779645;140.77015029810312;157.92629242245135;142.3983512378432;137.8861604610773;148.4173771424014;146.04699018750796;149.1016697436037;137.8861604610773;140.77015029810312;157.2014997784399;123.19006671368945;138.84086491082343;141.74482308927838;120.66624401638853;129.88226945076727;161.97280010108508;129.58388350640496;126.63746785245633;143.05489254083338;142.3983512378432;185.94081432549268;112.36229422235937;152.9220662226185;151.17353578131596;133.82439032753845;139.48100408072568;169.9880976073776;177.99018717193525;166.12299047968008;139.16056641591413;153.27419176407454;135.0612555746781;176.76628220841215;150.82623619664253;160.85903468991685;134.1325406623339;153.27419176407454;135.99640077891235;138.52189787423194;170.3795201952986;178.40003574761784;136.30955248712056;124.04301747004386;141.4191846239604;137.5693867214618;132.59885205668874;155.40403774715355;148.75912997493032;136.9380207974764;144.37707024389624;144.0453845670817;142.071211385041;170.3795201952986;142.72624437825547;154.69082083006467;159.38591829654547;183.3924552080421;139.48100408072568;157.56347934485905;141.74482308927838;131.3845370318381;141.74482308927838;144.0453845670817;161.6006907506438;135.68396849198137;133.51694792407994;155.04701918906255;153.27419176407454;171.95424440542277;130.78155608093476;173.14483149362397;141.74482308927838;138.84086491082343;175.95502463319346;130.18134247263782;131.687069245691;145.0427346212984;134.1325406623339
350;1;147.39682220370585;174.74511395537968;149.78911734170106;162.34576628801665;193.8003335433133;155.40403774715355;170.7718440912787;146.38328485555763;150.82623619664253;182.97113726243202;144.70951967574905;196.0419016920219;173.54352292544948;173.54352292544948;129.58388350640496;151.52163507434625;159.019751937195;155.40403774715355;163.46982562039878;178.40003574761784;192.46771406622392;157.2014997784399;177.99018717193525;119.28653076694064;151.52163507434625;142.071211385041;160.489484056269;158.65442679270308;153.62712812636244;159.019751937195;156.84035180832117;163.46982562039878;162.71959128443044;155.40403774715355;167.65837392639204;175.5507931209749;157.56347934485905;164.60166778205706;178.40003574761784;151.17353578131596;164.60166778205706;162.34576628801665;150.47973448311032;159.38591829654547;146.38328485555763;152.9220662226185;140.77015029810312;154.3354407858697;165.3605796128513;151.17353578131596;168.0444319830006;152.2202401555017;170.3795201952986;170.3795201952986;146.04699018750796;170.3795201952986;156.1205430194796;156.84035180832117;169.2079480779645;161.2294362682334;185.51364188915767;126.63746785245633;174.3436620399584;180.46347821208073;143.3842974641264;126.05627327270784;159.019751937195;165.74134666021052;163.0942770678616;158.65442679270308;121.22258734750707;136.9380207974764;159.38591829654547;195.5915234516484;181.29552244642448;167.65837392639204;163.0942770678616;140.77015029810312;122.90705514830907;169.2079480779645;149.44499826045774;159.75292780777542;168.43137899504623;181.29552244642448;170.7718440912787;188.52458457359268;165.74134666021052;159.38591829654547;157.56347934485905;177.58128016475786;150.47973448311032;168.43137899504623;179.22256628189072;171.1650713707123;
400;1;238.9199170137345;271.76247212298546;225.56952370197416;229.7584226260572;267.4221298318544;241.12812241994263;282.598855549887;231.88195337772558;255.39935560783434;152.5707496392494;296.5833881427452;206.6917226238869;219.93420215936857;264.36439103562185;196.0419016920219;256.57689891684043;244.4787567115525;238.3710326635721;239.4700652508151;215.92441600108754;233.48747152374744;220.44063299654638;258.3534014046816;282.598855549887;236.73193393193665;254.81261210362217;218.42187967716725;256.57689891684043;250.16693137303636;307.7009656247064;240.57416503357393;289.1739529985368;255.39935560783434;273.01545915549303;266.8077657227987;257.75987140260105;265.5832685032748;222.99033295098835;258.3534014046816;241.12812241994263;254.22721655872235;229.7584226260572;311.97667347925545;244.4787567115525;253.64316587639095;239.4700652508151;254.22721655872235;262.5465554823915;326.6627916155961;249.01880620114244;248.44672109694383;283.90180477109226;258.94829809685814;206.6917226238869;283.90180477109226;250.7429775143165;290.5072173393252;268.0379086046006;249.01880620114244;278.725777050505;243.35673705438484;228.70396100307693;317.04014952964735;325.9123305559271;241.6833553746412;221.45699575047882;293.19221579357423;255.39935560783434;219.42893477463318;198.3093966679627;281.9496250833612;261.34161481541787;250.7429775143165;247.30649072036954;255.39935560783434;241.6833553746412;235.10410605239272;287.84680758938356;259.54456462613547;273.01545915549303;263.15110752834715;190.7051314091029;306.28879167305405;273.6441173913884;288.50961718568635;309.1196505402723;237.82340929672839;278.08544442808454;209.563840428584;246.17149335836635;261.34161481541787;267.4221298318544;281.9496250833612;264.97312891521335;274.274223205303
450;1;297.95081439736;347.59166713154747;304.18267347431294;356.49792541509163;302.78664650003196;323.67127600466995;280.01086907053855;334.2631043753249;295.2222376036896;316.3117951143896;304.18267347431294;338.1293181963075;289.1739529985368;270.5152355945282;329.6819561602209;273.6441173913884;272.3882451720131;321.44563150400245;319.97037728515147;317.04014952964735;327.41498072219457;280.01086907053855;342.040250112449;333.4951826837323;276.80918902161307;280.6556352662915;320.70715612377506;327.41498072219457;298.63688995492015;298.63688995492015;288.50961718568635;333.4951826837323;282.598855549887;300.0137840772717;341.25446154044994;328.1689018548046;309.1196505402723;331.20198654813083;363.9543401153048;344.4084888659446;268.6551052985083;314.86010231013057;302.091037470114;308.4094923390225;273.01545915549303;285.8675010773755;278.08544442808454;302.091037470114;329.6819561602209;323.67127600466995;342.040250112449;333.4951826837323;263.7570516442754;246.73833941617247;330.44109733708814;311.2599516762814;273.6441173913884;325.16359357324677;281.9496250833612;289.1739529985368;324.4165767067347;315.58511398926566;324.4165767067347;345.2015400495941;297.2663150003028;333.4951826837323;350.80426576336697;373.27985526137724;273.01545915549303;298.63688995492015;321.44563150400245;277.4465828783136;288.50961718568635;297.2663150003028;322.18580733237013;269.2737231785496;276.1732594861681;290.5072173393252;311.97667347925545;269.8937655172144;314.13675624167104;317.7701810880355;287.84680758938356;282.598855549887;319.97037728515147;325.9123305559271;317.04014952964735;304.88309880366177;292.51864859645656;293.86733397819717;312.6950456395597;285.21076136507946;287.84680758938356;319.23529109056983;343.61725960400435
500;1;306.28879167305405;348.39204805117305;318.50189365142256;344.4084888659446;382.8443158551454;309.8314439851943;314.13675624167104;335.80425658797634;382.8443158551454;302.091037470114;335.032794319519;354.8618009295309;302.091037470114;331.96462781845474;345.2015400495941;332.729025182434;397.1954276004851;391.75177827041654;295.2222376036896;335.80425658797634;275.5387909079098;364.79239849526294;320.70715612377506;358.1415934100561;342.82784807816876;334.2631043753249;249.01880620114244;389.95385847623;362.2839948901666;375.8643926625708;377.59735161863443;367.31816993535824;326.6627916155961;361.4516992088564;384.60945641884547;364.79239849526294;331.20198654813083;312.6950456395597;362.2839948901666;380.2117827594916;363.9543401153048;311.2599516762814;330.44109733708814;326.6627916155961;359.79283969449995;310.54487643917764;345.2015400495941;376.72987568964214;388.1641901202389;426.54949972974595;380.2117827594916;372.422298162979;356.49792541509163;350.80426576336697;353.23318533291837;327.41498072219457;271.76247212298546;352.4216825925416;289.839818542273;334.2631043753249;387.27243839056536;291.17615292023476;384.60945641884547;338.1293181963075;317.7701810880355;310.54487643917764;357.3188143038935;327.41498072219457;350.80426576336697;334.2631043753249;416.85082355814023;367.31816993535824;374.13938701108043;306.994066649216;344.4084888659446;345.9964173501956;328.1689018548046;366.4743089566345;383.7258711816188;253.06045696699857;349.1942719655453;370.71308978460263;365.6323866278597;347.59166713154747;358.96626708608295;367.31816993535824;381.9647857759958;342.040250112449;334.2631043753249;324.4165767067347;330.44109733708814;298.63688995492015;382.8443158551454;313.4150719573846;335.80425658797634
50;2;80.86882686115663;79.94416236366476;72.41608335620725;66.66155637220571;67.58786266311525;79.21204895542955;68.2125401098187;85.45828998891848;69.96033373619683;79.76050208051753;79.76050208051753;75.13063666512456;75.82502782400917;79.76050208051753;73.25367523717904;88.4580493090837;95.21413622430518;80.12824555161734;83.51518073358744;86.8453039596765;76.17462641229403;77.58921383254534;86.04999121148714;80.12824555161734;62.64779094875134;73.76087341773129;77.05569102752814;66.50841097726541;75.65083066354039;72.2497177582651;78.84851031015829;82.75036461945882;73.76087341773129;83.90023551197255;67.74349365427292;80.49768453938279;72.2497177582651;102.72221678143227;74.27158336739988;92.62215987470853;71.42360525536486;92.83543601596358;68.36960951264311;69.47926901532685;85.06608461890904;80.12824555161734;87.84978967784696;88.86589365874443;81.9925525455932;97.65378530006194;81.42875128425993;67.58786266311525;79.94416236366476;92.19707638088428;81.42875128425993;80.49768453938279;80.12824555161734;86.24813396809573;88.25482958793816;70.76952148581977;67.74349365427292;74.44260460817993;75.47703369614224;67.27767247925628;80.86882686115663;84.87065745167865;79.94416236366476;77.23312308554021;68.68483417728397;65.14583815249408;72.91748216796745;85.06608461890904;73.42235259482725;76.70204884940001;73.08538539164365;75.47703369614224;92.62215987470853;76.70204884940001;77.9469463702102;74.44260460817993;75.82502782400917;72.08373436149837;72.91748216796745;76.52583685851603;72.58283203539922;76.35002968948747;86.44673297753417;86.04999121148714;76.17462641229403;84.87065745167865;80.49768453938279;68.68483417728397;66.35561741197426;68.05583155149054;74.44260460817993
100;2;94.34218330463797;93.47821556368753;92.4093737048952;101.78150629043697;92.4093737048952;108.80185898389541;80.49768453938279;106.57281074536908;105.5968372484542;84.28706562247159;94.77715702038213;94.12544562691185;75.30363600242836;84.48114898371028;231.88195337772558;90.72458878313572;94.77715702038213;71.91813228785453;79.39444634461776;97.2056094823455;91.14288323117634;89.27561841403075;80.49768453938279;89.68723224473376;94.77715702038213;91.35275312046308;106.57281074536908;75.65083066354039;101.08163124269969;115.24132645559527;99.92585095768132;79.5772637306123;70.93247871421282;93.69346289903146;171.55920411377264;84.48114898371028;103.43345101350522;88.05207673504692;77.23312308554021;82.37058710017779;91.77394378063636;88.6617369735164;90.30821407077885;92.19707638088428;77.4109637069535;90.72458878313572;94.55942005273376;91.14288323117634;94.34218330463797;85.06608461890904;93.04920325689164;82.18135245311242;89.68723224473376;90.10074386061753;90.51616201160321;79.76050208051753;68.2125401098187;96.53719944346616;89.89375028360132;85.65507026646488;89.27561841403075;95.21413622430518;83.51518073358744;94.12544562691185;106.32797494975146;96.31541902998988;102.48622717491455;94.12544562691185;83.3233165462957;83.3233165462957;76.35002968948747;77.05569102752814;97.87864749865372;93.26346272832193;85.85230365953272;97.87864749865372;96.53719944346616;76.17462641229403;93.90920587301264;102.01587317350378;81.9925525455932;92.19707638088428;99.69628560183793;72.91748216796745;102.48622717491455;100.3865687105195;100.3865687105195;96.09414812530488;84.09342814000658;118.19412744424307;83.51518073358744;81.61625295647981;105.35424361240754;90.72458878313572;85.26196178592542
150;2;103.67162174218069;107.3107059503725;98.32992642291843;115.50668655357624;100.61772354471226;99.23873585928976;89.07052044475715;97.65378530006194;90.93349548795442;107.80547228788281;105.83998949201612;94.77715702038213;109.55518780649251;100.3865687105195;86.8453039596765;97.2056094823455;99.46724763957785;99.23873585928976;104.87072703252481;91.35275312046308;90.51616201160321;93.90920587301264;95.65313016290338;115.77265768219846;96.09414812530488;110.31373257227528;111.33330173875498;103.67162174218069;90.10074386061753;109.55518780649251;104.62980153088488;91.77394378063636;107.80547228788281;93.04920325689164;82.18135245311242;112.62102492532209;91.35275312046308;112.62102492532209;98.78328601209519;100.1559449215093;96.53719944346616;96.53719944346616;104.87072703252481;96.98229349236969;90.51616201160321;101.08163124269969;102.48622717491455;89.48118865153393;99.01074905214578;107.55780462860899;106.81821031140409;94.99539535941216;103.67162174218069;92.83543601596358;0.0;89.89375028360132;101.31438656056716;110.56774616084073;97.2056094823455;93.26346272832193;87.44660867258324;96.31541902998988;100.1559449215093;80.12824555161734;98.10402747551902;105.83998949201612;81.9925525455932;96.75949053895263;88.25482958793816;93.90920587301264;110.8223446530412;110.56774616084073;115.24132645559527;90.51616201160321;102.48622717491455;98.10402747551902;94.34218330463797;105.5968372484542;109.30350042597735;98.10402747551902;86.8453039596765;97.2056094823455;103.19582744802683;100.1559449215093;111.07752939570332;88.6617369735164;96.31541902998988;87.04527804082183;95.87338555888753;105.11220730055531;99.46724763957785;93.69346289903146;101.08163124269969;110.06030254361242;107.55780462860899
200;2;148.4173771424014;157.2014997784399;161.6006907506438;153.62712812636244;140.4467510041707;165.74134666021052;147.39682220370585;149.78911734170106;160.489484056269;156.48003352402927;156.48003352402927;164.2235189839767;152.9220662226185;151.52163507434625;166.50551309015668;146.04699018750796;126.05627327270784;156.48003352402927;180.46347821208073;137.8861604610773;161.6006907506438;157.56347934485905;146.04699018750796;144.70951967574905;148.4173771424014;160.85903468991685;159.75292780777542;147.05819907850767;150.82623619664253;134.44140055858222;148.07640943814368;151.17353578131596;153.9808771765164;140.4467510041707;140.4467510041707;141.4191846239604;130.4811041541137;156.1205430194796;163.0942770678616;161.6006907506438;153.62712812636244;136.62342527317932;147.39682220370585;154.3354407858697;146.38328485555763;145.0427346212984;147.05819907850767;150.82623619664253;142.071211385041;158.2899409304989;131.99029808444726;161.2294362682334;141.4191846239604;169.9880976073776;147.39682220370585;135.99640077891235;154.3354407858697;139.80217960037407;171.55920411377264;129.88226945076727;126.63746785245633;128.98916653998216;131.687069245691;135.68396849198137;135.68396849198137;146.38328485555763;168.81921700947953;146.38328485555763;136.62342527317932;158.65442679270308;164.2235189839767;138.52189787423194;163.0942770678616;160.85903468991685;143.71446089068743;131.687069245691;157.92629242245135;153.9808771765164;151.8705359171794;123.47372995481003;129.58388350640496;146.04699018750796;129.58388350640496;154.69082083006467;160.489484056269;111.84661464128764;154.69082083006467;144.37707024389624;142.72624437825547;155.04701918906255;140.77015029810312;139.16056641591413;156.1205430194796;157.92629242245135;126.63746785245633
